country,cause,year,both_sexes_death_rate,male_death_rate,female_death_rate
Kazakhstan, Total,2016,57[ 42–83],63[ 48–91],51[ 36–75]
Kenya, Total,2016,40[ 35–44],40[ 35–45],39[ 35–43]
Kiribati, Total,2016,88[ 80–95],103[ 92–112],74[ 67–80]
Kuwait, Total,2016,37[ 33–41],46[ 41–50],25[ 23–28]
Kyrgyzstan, Total,2016,74[ 53–100],80[ 59–106],68[ 47–93]
Lao People's Democratic Republic, Total,2016,110[ 101–118],106[ 96–115],114[ 105–123]
Latvia, Total,2016,98[ 70–137],98[ 75–133],97[ 64–142]
Lebanon, Total,2016,52[ 43–60],61[ 50–70],43[ 36–51]
Lesotho, Total,2016,113[ 99–129],105[ 90–122],121[ 106–137]
Liberia, Total,2016,83[ 76–90],80[ 72–87],87[ 79–94]
Libya, Total,2016,43[ 38–49],51[ 46–57],35[ 31–40]
Lithuania, Total,2016,82[ 60–109],84[ 66–103],80[ 53–115]
Luxembourg, Total,2016,23[ 17–30],24[ 18–30],21[ 15–30]
Madagascar, Total,2016,80[ 73–86],81[ 73–88],79[ 73–85]
Malawi, Total,2016,54[ 49–59],56[ 50–61],52[ 47–57]
Malaysia, Total,2016,35[ 27–58],40[ 31–63],30[ 22–52]
Maldives, Total,2016,14[ 10–23],15[ 11–24],13[ 8–21]
Mali, Total,2016,107[ 97–115],98[ 88–107],116[ 106–124]
Malta, Total,2016,44[ 34–55],47[ 37–58],40[ 29–53]
Mauritania, Total,2016,88[ 76–102],90[ 77–105],85[ 74–98]
Mauritius, Total,2016,48[ 34–81],55[ 40–94],41[ 28–71]
Mexico, Total,2016,33[ 28–39],36[ 30–42],30[ 25–36]
Micronesia (Federated States of), Total,2016,93[ 80–102],96[ 81–107],90[ 76–99]
Mongolia, Total,2016,97[ 84–110],115[ 100–131],79[ 68–91]
Montenegro, Total,2016,140[ 99–182],148[ 107–189],132[ 91–177]
Morocco, Total,2016,40[ 33–50],43[ 36–53],38[ 31–48]
Mozambique, Total,2016,64[ 58–70],63[ 56–69],66[ 59–71]
Myanmar, Total,2016,116[ 104–128],125[ 108–141],108[ 97–118]
Namibia, Total,2016,75[ 63–87],75[ 63–89],75[ 63–87]
Nepal, Total,2016,133[ 121–145],145[ 131–160],122[ 111–132]
Netherlands, Total,2016,31[ 24–40],32[ 25–41],30[ 22–41]
New Zealand, Total,2016,14[ 9–20],14[ 10–20],13[ 8–21]
Nicaragua, Total,2016,43[ 37–49],44[ 37–50],42[ 36–48]
Niger, Total,2016,140[ 125–152],142[ 126–155],138[ 123–149]
Nigeria, Total,2016,159[ 141–174],155[ 136–171],162[ 144–177]
Norway, Total,2016,19[ 12–27],19[ 13–26],19[ 12–28]
Oman, Total,2016,22[ 18–34],23[ 19–35],20[ 16–33]
Pakistan, Total,2016,113[ 99–127],128[ 112–143],98[ 86–110]
Panama, Total,2016,26[ 20–34],29[ 22–37],23[ 17–31]
Papua New Guinea, Total,2016,90[ 79–98],99[ 87–110],80[ 71–88]
Paraguay, Total,2016,46[ 38–53],49[ 40–59],42[ 34–49]
Peru, Total,2016,58[ 48–69],61[ 50–72],56[ 46–66]
Philippines, Total,2016,117[ 95–134],130[ 105–151],103[ 84–119]
Poland, Total,2016,76[ 61–92],83[ 70–97],70[ 53–89]
Portugal, Total,2016,28[ 19–43],30[ 21–43],27[ 17–43]
Qatar, Total,2016,13[ 11–15],14[ 13–16],9[ 8–11]
Republic of Korea, Total,2016,35[ 27–50],39[ 30–56],31[ 23–45]
Republic of Moldova, Total,2016,107[ 78–156],111[ 84–163],102[ 72–152]
Romania, Total,2016,123[ 81–204],132[ 89–217],115[ 72–198]
Russian Federation, Total,2016,86[ 68–109],93[ 77–112],80[ 58–106]
Rwanda, Total,2016,59[ 54–64],58[ 53–64],60[ 54–64]
Saint Lucia, Total,2016,38[ 32–46],41[ 34–48],35[ 28–43]
Saint Vincent and the Grenadines, Total,2016,48[ 38–60],52[ 42–64],44[ 35–57]
Samoa, Total,2016,62[ 50–73],73[ 58–86],51[ 41–59]
Sao Tome and Principe, Total,2016,82[ 65–93],78[ 61–90],86[ 69–97]
Saudi Arabia, Total,2016,39[ 34–55],43[ 38–60],34[ 29–49]
Senegal, Total,2016,74[ 64–85],74[ 63–85],74[ 64–85]
Serbia, Total,2016,122[ 83–166],134[ 93–183],109[ 73–153]
Seychelles, Total,2016,56[ 38–117],71[ 50–145],42[ 28–91]
Sierra Leone, Total,2016,148[ 135–160],144[ 131–158],151[ 139–163]
Singapore, Total,2016,39[ 30–51],45[ 35–57],34[ 24–45]
Slovakia, Total,2016,59[ 46–83],65[ 52–91],53[ 39–76]
Slovenia, Total,2016,57[ 42–78],55[ 42–74],59[ 41–83]
Solomon Islands, Total,2016,67[ 60–73],76[ 67–85],57[ 52–62]
Somalia, Total,2016,152[ 136–166],158[ 140–173],147[ 131–160]
South Africa, Total,2016,61[ 51–73],68[ 57–81],54[ 45–64]
South Sudan, Total,2016,109[ 98–119],109[ 98–120],109[ 98–118]
Spain, Total,2016,27[ 19–37],31[ 23–41],23[ 16–34]
Sri Lanka, Total,2016,89[ 75–102],104[ 86–120],76[ 64–87]
Sudan, Total,2016,105[ 92–116],105[ 92–117],105[ 93–117]
Suriname, Total,2016,51[ 42–60],59[ 49–70],42[ 35–51]
Sweden, Total,2016,18[ 12–28],19[ 12–27],18[ 11–30]
Switzerland, Total,2016,25[ 18–34],26[ 19–33],25[ 17–35]
Syrian Arab Republic, Total,2016,44[ 38–50],48[ 42–56],39[ 33–46]
Tajikistan, Total,2016,70[ 55–89],74[ 59–93],67[ 52–85]
Thailand, Total,2016,85[ 64–107],98[ 75–125],71[ 53–91]
Republic of North Macedonia, Total,2016,125[ 99–151],140[ 112–170],109[ 86–134]
Timor-Leste, Total,2016,77[ 69–83],78[ 69–85],75[ 68–82]
Togo, Total,2016,115[ 104–125],120[ 108–131],110[ 100–119]
Tonga, Total,2016,57[ 40–71],68[ 48–85],45[ 32–57]
Trinidad and Tobago, Total,2016,45[ 38–52],50[ 43–57],40[ 33–48]
Tunisia, Total,2016,57[ 50–66],68[ 59–78],47[ 40–55]
Turkey, Total,2016,46[ 40–53],59[ 51–67],34[ 28–39]
Turkmenistan, Total,2016,51[ 43–60],59[ 50–68],44[ 37–52]
Uganda, Total,2016,74[ 66–80],72[ 64–78],76[ 68–82]
Ukraine, Total,2016,137[ 105–173],142[ 115–178],132[ 96–172]
United Arab Emirates, Total,2016,16[ 14–19],18[ 16–22],10[ 9–12]
United Kingdom of Great Britain and Northern Ireland, Total,2016,32[ 24–43],34[ 26–44],30[ 21–42]
United Republic of Tanzania, Total,2016,75[ 68–82],74[ 67–81],76[ 69–82]
United States of America, Total,2016,24[ 17–32],26[ 19–34],22[ 15–31]
Uruguay, Total,2016,32[ 23–45],35[ 26–48],30[ 21–44]
Uzbekistan, Total,2016,54[ 43–69],60[ 48–76],48[ 37–62]
Vanuatu, Total,2016,76[ 68–83],88[ 77–98],63[ 58–69]
Venezuela (Bolivarian Republic of), Total,2016,29[ 24–36],34[ 28–41],24[ 19–31]
Viet Nam, Total,2016,65[ 55–76],76[ 65–88],54[ 45–64]
Yemen, Total,2016,90[ 78–102],90[ 77–102],90[ 77–103]
Zambia, Total,2016,63[ 57–70],63[ 56–70],64[ 57–70]
Zimbabwe, Total,2016,67[ 59–74],61[ 53–69],72[ 64–79]
